Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Date,,,,,,
2023-12-04,4134.53955078125,4180.35009765625,4200.0,3916.0,3950.0,2824695
2023-12-05,4091.169921875,4136.5,4195.25,4100.0,4181.0,1045885
2023-12-06,4002.650634765625,4047.0,4127.9501953125,4025.0,4088.050048828125,941566
2023-12-07,4046.16845703125,4091.0,4135.0,4048.0,4050.0,699553
2023-12-08,4010.56298828125,4055.0,4112.39990234375,4028.800048828125,4100.0,334252
2023-12-11,3981.53466796875,4025.64990234375,4068.89990234375,4010.0,4055.0,534584
2023-12-12,3908.444580078125,3951.75,4047.449951171875,3936.14990234375,4047.449951171875,981121
2023-12-13,3988.556884765625,4032.75,4044.949951171875,3957.949951171875,3969.0,707209
2023-12-14,4041.37158203125,4086.14990234375,4100.0,4045.0,4058.0,922658
2023-12-15,4015.4091796875,4059.89990234375,4135.2998046875,4045.0,4099.7001953125,954933
2023-12-18,4040.728759765625,4085.5,4165.0,4068.5,4076.0,886620
2023-12-19,3995.381103515625,4039.64990234375,4109.5498046875,4022.39990234375,4094.800048828125,328368
2023-12-20,3869.525634765625,3912.39990234375,4132.4501953125,3891.699951171875,4074.75,557214
2023-12-21,3914.57666015625,3957.949951171875,4007.89990234375,3847.550048828125,3900.0,445648
2023-12-22,3962.149658203125,4006.050048828125,4016.949951171875,3948.199951171875,3983.0,309907
2023-12-26,3996.123046875,4040.39990234375,4069.64990234375,4012.0,4024.800048828125,475107
2023-12-27,4074.850830078125,4120.0,4134.9501953125,4042.10009765625,4068.0,385941
2023-12-28,4047.05859375,4091.89990234375,4130.0,4080.89990234375,4120.0,450475
2023-12-29,4098.09326171875,4143.5,4178.0,4094.0,4099.9501953125,673952
2024-01-01,3994.095703125,4038.35009765625,4145.0,4030.0,4145.0,763454
2024-01-02,3849.84375,3892.5,4010.75,3882.35009765625,4010.10009765625,1221148
2024-01-03,3844.99755859375,3887.60009765625,3928.949951171875,3878.449951171875,3894.050048828125,435449
2024-01-04,3818.68896484375,3861.0,3915.0,3848.5,3887.5,425702
