Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,,
2023-12-04,703.4292602539062,705.5999755859375,717.0,704.7999877929688,716.0,9348036
2023-12-05,706.7689819335938,708.9500122070312,714.9000244140625,705.0,705.9000244140625,9601509
2023-12-06,720.2274169921875,722.4500122070312,724.7999877929688,709.0,709.0499877929688,12148825
2023-12-07,719.72900390625,721.9500122070312,727.5,716.0,725.0,10451801
2023-12-08,712.3517456054688,714.5499877929688,727.5999755859375,707.5,722.0499877929688,8557203
2023-12-11,718.58251953125,720.7999877929688,726.5,716.5499877929688,717.7999877929688,6403209
2023-12-12,713.1991577148438,715.4000244140625,724.7999877929688,713.0,724.7999877929688,6461539
2023-12-13,718.0840454101562,720.2999877929688,721.4500122070312,713.5,716.0,5807736
2023-12-14,717.5357666015625,719.75,724.7000122070312,718.5999755859375,724.0,6732352
2023-12-15,730.1468505859375,732.4000244140625,734.0,721.25,723.9000244140625,12082079
2023-12-18,728.5517578125,730.7999877929688,734.75,728.0999755859375,732.9000244140625,5450397
2023-12-19,726.7074584960938,728.9500122070312,732.5999755859375,726.0,732.5999755859375,4511101
2023-12-20,703.080322265625,705.25,733.0,703.0499877929688,730.9500122070312,8107602
2023-12-21,706.6692504882812,708.8499755859375,711.9000244140625,696.25,703.0,7702232
2023-12-22,722.4705200195312,724.7000122070312,731.0,712.0,716.7999877929688,12062238
2023-12-26,717.3363647460938,719.5499877929688,727.5,716.5999755859375,727.4000244140625,7229143
2023-12-27,738.6206665039062,740.9000244140625,741.8499755859375,725.1500244140625,728.0,15052800
2023-12-28,751.5806884765625,753.9000244140625,757.9500122070312,739.0499877929688,742.6500244140625,14906199
2023-12-29,777.550537109375,779.9500122070312,802.9000244140625,754.0,755.0,41170191
2024-01-01,788.167724609375,790.5999755859375,798.7000122070312,781.0499877929688,785.0,12570717
2024-01-02,781.9868774414062,784.4000244140625,804.0,779.0,800.5,13791090
2024-01-03,779.0459594726562,781.4500122070312,790.0,776.25,786.0499877929688,8559060
2024-01-04,793.3019409179688,795.75,801.7999877929688,791.2999877929688,798.0,14298444
2024-01-05,788.5167236328125,790.9500122070312,805.9000244140625,787.0999755859375,799.0,11091198
2024-01-08,786.67236328125,789.0999755859375,800.3499755859375,787.5,798.4000244140625,7668471
2024-01-09,797.3394775390625,799.7999877929688,809.2000122070312,793.1500244140625,799.9500122070312,12872757
2024-01-10,805.962890625,808.4500122070312,811.0,792.6500244140625,800.0,9980044
2024-01-11,813.1407470703125,815.6500244140625,817.5,808.4500122070312,813.5,11075167
2024-01-12,813.938232421875,816.4500122070312,818.5499877929688,809.1500244140625,818.1500244140625,7664094
2024-01-15,809.9505615234375,812.4500122070312,820.4000244140625,810.2999877929688,820.0,4835856
