Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-NOV-2023,19844.65,19916.85,19800.0,19889.7,229595031.0,23043.25
29-NOV-2023,19976.55,20104.65,19956.3,20096.6,236241768.0,22367.64
30-NOV-2023,20108.5,20158.7,20015.85,20133.15,486585349.0,48877.95
01-DEC-2023,20194.1,20291.55,20183.7,20267.9,265812566.0,22461.53
04-DEC-2023,20601.95,20702.65,20507.75,20686.8,381107418.0,33917.52
05-DEC-2023,20808.9,20864.05,20711.15,20855.1,421008350.0,41763.52
06-DEC-2023,20950.75,20961.95,20852.15,20937.7,359212958.0,35654.76
07-DEC-2023,20932.4,20941.25,20850.8,20901.15,274985308.0,24862.43
08-DEC-2023,20934.1,21006.1,20862.7,20969.4,292440768.0,27449.96
11-DEC-2023,20965.3,21026.1,20923.7,20997.1,212921451.0,21150.17
12-DEC-2023,21018.55,21037.9,20867.15,20906.4,244867128.0,25404.64
13-DEC-2023,20929.75,20950.0,20769.5,20926.35,260269318.0,25918.44
14-DEC-2023,21110.4,21210.9,21074.45,21182.7,334410589.0,32593.42
15-DEC-2023,21287.45,21492.3,21235.3,21456.65,508761756.0,50114.46
18-DEC-2023,21434.8,21482.8,21365.35,21418.65,249668965.0,23615.28
19-DEC-2023,21477.65,21505.05,21337.75,21453.1,249750062.0,23750.61
20-DEC-2023,21543.5,21593.0,21087.35,21150.15,363886229.0,30993.12
21-DEC-2023,21033.95,21288.35,20976.8,21255.05,277548079.0,26001.02
22-DEC-2023,21295.85,21390.5,21232.45,21349.4,284708918.0,27709.29
26-DEC-2023,21365.2,21477.15,21329.45,21441.35,219467748.0,20081.33
